Curso;Unidade Curricular;Turma;Turno;Inscritos no turno;Dia da semana;Data da aula;Hora início da aula;Hora fim da aula;Características da sala pedida para a aula;Sala atribuída à aula
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Sex;02/12/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Qua;23/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Qua;16/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Qua;09/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Qua;02/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;28/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;21/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;14/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;07/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Ter;29/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Ter;22/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Ter;15/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Ter;08/11/2022;13:00:00;14:30:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Sex;04/11/2022;10:30:00;12:00:00;Sala Aulas Mestrado;AA2.26
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Sex;04/11/2022;12:00:00;13:30:00;Sala Aulas Mestrado;AA2.26
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Sex;02/12/2022;14:30:00;16:00:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;28/11/2022;14:30:00;16:00:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;21/11/2022;14:30:00;16:00:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;14/11/2022;14:30:00;16:00:00;Sala Aulas Mestrado;AA2.25
ME;Teoria dos Jogos e dos Contratos;MEA1;01789TP01;30;Seg;07/11/2022;14:30:00;16:00:00;Sala Aulas Mestrado;AA2.25
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;12/12/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA3.24
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;05/12/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA3.24
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;28/11/2022;18:00:00;20:00:00;Não necessita de sala;AA3.24
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;21/11/2022;18:00:00;20:00:00;Não necessita de sala;AA3.24
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;14/11/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA3.24
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;07/11/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA2.23
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;31/10/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA2.23
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;24/10/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA2.23
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;17/10/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA3.24
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;10/10/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA3.24
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;03/10/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA2.28
PIUDHIST;Seminário de Projecto I (Piudhist);DHMCMG1;SP-I_(Piudhist)S01;0;Seg;26/09/2022;18:00:00;20:00:00;Sala Aulas Mestrado;AA2.26
LP;Competências Académicas I;PA3;L5205PL05;23;Qua;14/12/2022;11:00:00;12:30:00;Sala/anfiteatro aulas;2E+07
LP;Competências Académicas I;PA3;L5205PL05;23;Qua;07/12/2022;11:00:00;12:30:00;Sala de Aulas normal;2E+07
LP;Competências Académicas I;PA3;L5205PL05;23;Qua;30/11/2022;11:00:00;12:30:00;Sala de Aulas normal;2E+07
LP;Competências Académicas I;PA3;L5205PL05;23;Qua;23/11/2022;11:00:00;12:30:00;Sala de Aulas normal;2E+07
LP;Competências Académicas I;PA3;L5205PL05;23;Qua;16/11/2022;11:00:00;12:30:00;Sala de Aulas normal;2E+07
LP;Competências Académicas I;PA3;L5205PL05;23;Qua;09/11/2022;11:00:00;12:30:00;Sala de Aulas normal;2E+07
